"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","LogoutUser","All Test Suite","Sun Mar 23 00:07:27 GMT+06:00 2025","broken","Sun Mar 23 00:07:27 GMT+06:00 2025","testcases.TestAuthorPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestAuthorPage","LogoutUser"
"","1712","GoToNextPage","All Test Suite","Sun Mar 23 00:07:00 GMT+06:00 2025","passed","Sun Mar 23 00:07:02 GMT+06:00 2025","testcases.TestAuthorPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestAuthorPage","GoToNextPage"
"","1441","FillUpBookCheckoutForm","All Test Suite","Sun Mar 23 00:07:16 GMT+06:00 2025","broken","Sun Mar 23 00:07:17 GMT+06:00 2025","testcases.TestAuthorPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestAuthorPage","FillUpBookCheckoutForm"
"","5439","NavigateToLoginPage","Default Suite","Sat Mar 22 13:11:43 GMT+06:00 2025","passed","Sat Mar 22 13:11:48 GMT+06:00 2025","pages.HomePage","RokomariWebAutomation","pages.HomePage","NavigateToLoginPage"
"","1499","selectOneWriter","All Test Suite","Sun Mar 23 00:07:02 GMT+06:00 2025","passed","Sun Mar 23 00:07:03 GMT+06:00 2025","testcases.TestAuthorPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestAuthorPage","selectOneWriter"
"","1076","GoToAuthorPage","All Test Suite","Sun Mar 23 00:06:59 GMT+06:00 2025","passed","Sun Mar 23 00:07:00 GMT+06:00 2025","testcases.TestAuthorPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestAuthorPage","GoToAuthorPage"
"","12029","GotoAuthorBook","All Test Suite","Sun Mar 23 00:07:03 GMT+06:00 2025","passed","Sun Mar 23 00:07:16 GMT+06:00 2025","testcases.TestAuthorPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestAuthorPage","GotoAuthorBook"
"","5036","TestHomePageUrl","All Test Suite","Sun Mar 23 00:06:39 GMT+06:00 2025","passed","Sun Mar 23 00:06:44 GMT+06:00 2025","testcases.TestHomePage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestHomePage","TestHomePageUrl"
"","6048","SignInWithEmailAndPassword","All Test Suite","Sun Mar 23 00:06:53 GMT+06:00 2025","passed","Sun Mar 23 00:06:59 GMT+06:00 2025","testcases.TestLoginPage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestLoginPage","SignInWithEmailAndPassword"
"","6276","SignInWithGoogle","Default Suite","Sat Mar 22 14:31:34 GMT+06:00 2025","passed","Sat Mar 22 14:31:40 GMT+06:00 2025","testcases.TestLoginPage","RokomariWebAutomation","testcases.TestLoginPage","SignInWithGoogle"
"","2399","TestHomePageTitle","All Test Suite","Sun Mar 23 00:06:45 GMT+06:00 2025","passed","Sun Mar 23 00:06:47 GMT+06:00 2025","testcases.TestHomePage","F:/QA Project/Web Automation/WafiLifeBooksWebAutomation/src/test","testcases.TestHomePage","TestHomePageTitle"
"","5528","setup_class","Default Suite","Sat Mar 22 14:30:58 GMT+06:00 2025","broken","Sat Mar 22 14:31:03 GMT+06:00 2025","testcases.TestLoginPage","RokomariWebAutomation","testcases.TestLoginPage","setup_class"
